EID,Title,URL
661493424,"Bears Guide To Life | 2 Bears, 1 Cave Ep. 171","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1163603123.mp3?updated=1704913123"
661493423,"You're Not A Skater! w/ Tony Hawk | 2 Bears, 1 Cave Ep. 170","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4474270367.mp3?updated=1704913248"
661493422,"Laugh Hard w/ Louis C.K. | 2 Bears, 1 Cave Ep. 169","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6333968976.mp3?updated=1704913580"
661493421,"Body Hacks w/ Andrew Huberman | 2 Bears, 1 Cave Ep. 168","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2348530814.mp3?updated=1704914041"
661493420,"I Will Out Live You! | 2 Bears, 1 Cave Ep. 167","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1734901399.mp3?updated=1704914157"
661493419,"Drugs All Day | 2 Bears, 1 Cave Ep. 166","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH3644992775.mp3?updated=1704914388"
661493418,"The Hottest Instagrams | 2 Bears, 1 Cave Ep. 165","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6577735888.mp3?updated=1705007416"
661493416,"Jacked w/ Kumail Nanjiani | 2 Bears, 1 Cave Ep. 164","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1579421043.mp3?updated=1707419170"
661493414,"Important Message To Fans | 2 Bears, 1 Cave Ep. 163","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6768216030.mp3?updated=1707419394"
661493413,"WILD Conspiracy Theories! w/ Yannis Pappas | 2 Bears, 1 Cave - Ep. 162","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6685182526.mp3?updated=1705007890"
661493412,"Ep. 161 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7881413162.mp3?updated=1705007973"
661493411,"Ep. 160 | 2 Bears 1 Cave w/ Tom Segura & Quentin Tarantino","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6719795619.mp3?updated=1705008115"
661493410,"Ep. 159 | 2 Bears 1 Cave w/ Neal Brennan & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7771333731.mp3?updated=1705008299"
661493409,"Ep. 158 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6708623590.mp3?updated=1705008388"
661493408,"Ep. 157 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1862067349.mp3?updated=1705008562"
661493407,"Ep. 156 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9301286644.mp3?updated=1705008663"
661493406,"Ep. 155 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9386999398.mp3?updated=1707419657"
661493405,"Ep. 154 | 2 Bears 1 Cave w/ Tom Segura & Greg Fitzsimmons","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9422148163.mp3?updated=1705009268"
661493404,"Ep. 153 | 2 Bears 1 Cave w/ Tom Segura & Duncan Trussell","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1745742395.mp3?updated=1705009497"
661493402,"Ep. 152 | 2 Bears 1 Cave w/ Tom Segura & Joe Rogan","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7422364773.mp3?updated=1705009566"
661493401,"Ep. 151 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9472562966.mp3?updated=1705009680"
661493400,"Ep. 150 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6498187220.mp3?updated=1705009984"
661493399,"Ep. 149 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2461982153.mp3?updated=1705010159"
661493398,"Ep. 148 | 2 Bears 1 Cave w/ Tom Segura & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7148321355.mp3?updated=1705010398"
661493397,"Ep. 147 | 2 Bears 1 Cave w/ Whitney Cummings & Bert Kreischer","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH3476386547.mp3?updated=1705010599"
